0.39999,0.39702,0.39338,0.38903,0.38387,0.378,0.37154,0.36463,0.3574,0.35,0.34282,0.33606,0.32994,0.32466,0.32043,0.31733,0.31536,0.31445,0.31444,0.31518,0.31668,0.31909,0.33702,0.35222,0.36386,0.36382,0.36321,0.3635,0.36188,0.36345,0.36117,0.36237
0.39998,0.39742,0.39417,0.39036,0.3859,0.3808,0.37512,0.36898,0.3625,0.35573,0.34895,0.34239,0.33624,0.33068,0.32591,0.32207,0.31922,0.31739,0.31647,0.31639,0.31699,0.31824,0.31995,0.33667,0.35184,0.36376,0.36347,0.36297,0.36332,0.3618,0.36339,0.36113
0.39993,0.39756,0.39486,0.39142,0.3875,0.38305,0.37805,0.37259,0.36677,0.36065,0.35434,0.3481,0.34211,0.33648,0.33141,0.32706,0.32354,0.32092,0.31919,0.31829,0.31812,0.31858,0.31955,0.32079,0.3363,0.35147,0.36355,0.36321,0.36281,0.3632,0.36177,0.36336
0.39977,0.39767,0.39512,0.39235,0.3888,0.38483,0.38043,0.37558,0.37038,0.36485,0.35906,0.35319,0.34744,0.34192,0.33676,0.33212,0.32814,0.3249,0.32247,0.32082,0.31992,0.31966,0.31996,0.32067,0.32158,0.33596,0.35121,0.36314,0.36305,0.36272,0.36313,0.36176
0.39936,0.39766,0.3955,0.39275,0.38993,0.3863,0.38232,0.37803,0.37337,0.36843,0.36315,0.35769,0.35223,0.3469,0.3418,0.33706,0.33279,0.32912,0.32613,0.32385,0.32228,0.32135,0.32101,0.32114,0.32164,0.3223,0.33571,0.35112,0.36275,0.36292,0.36268,0.3631
0.39833,0.39726,0.39559,0.39333,0.3905,0.38759,0.38392,0.37999,0.37582,0.37139,0.36665,0.36162,0.3565,0.35142,0.34648,0.34175,0.33737,0.33342,0.33003,0.32724,0.32509,0.32356,0.3226,0.32217,0.32217,0.32245,0.32291,0.33555,0.35102,0.36257,0.3628,0.36266
0.39602,0.39628,0.39511,0.39355,0.39118,0.38833,0.38536,0.38169,0.37782,0.37379,0.3696,0.36502,0.36026,0.35547,0.35075,0.34614,0.34176,0.33767,0.33402,0.33086,0.32824,0.32619,0.3247,0.3237,0.32318,0.32303,0.32312,0.32341,0.33548,0.35086,0.36256,0.36274
0.39131,0.39431,0.39424,0.39296,0.39151,0.38901,0.38624,0.3832,0.37959,0.37584,0.37196,0.36792,0.36355,0.35907,0.35459,0.35018,0.34588,0.34179,0.33798,0.33458,0.33161,0.32913,0.32716,0.32569,0.32464,0.32404,0.32373,0.32368,0.32383,0.33541,0.35072,0.36259
0.38259,0.38977,0.39255,0.39222,0.39083,0.38951,0.38692,0.38426,0.38116,0.37763,0.37402,0.37034,0.36639,0.36225,0.35804,0.35384,0.34969,0.34567,0.34183,0.33828,0.33508,0.33229,0.32993,0.32803,0.32654,0.32545,0.32475,0.3243,0.32411,0.32413,0.33536,0.35064
0.36804,0.38146,0.38837,0.39076,0.39024,0.38873,0.38756,0.38486,0.38235,0.3792,0.37582,0.37238,0.36885,0.36504,0.3611,0.35714,0.35318,0.34929,0.34551,0.34189,0.33857,0.33555,0.3329,0.33064,0.32877,0.32726,0.32612,0.32531,0.32474,0.32442,0.32432,0.33533
0.34619,0.36716,0.38029,0.38705,0.38896,0.38831,0.38667,0.38568,0.38288,0.38052,0.37735,0.37413,0.37087,0.36744,0.36381,0.36009,0.35635,0.3526,0.34893,0.34536,0.34197,0.33884,0.33598,0.33344,0.33125,0.32939,0.32785,0.32665,0.32573,0.32504,0.32461,0.32441
0.31695,0.34556,0.36623,0.3791,0.38576,0.38716,0.38643,0.38467,0.38385,0.38098,0.37878,0.37564,0.37259,0.36945,0.36612,0.36268,0.35919,0.35565,0.3521,0.34862,0.34524,0.34206,0.33908,0.33636,0.33391,0.33176,0.32989,0.32832,0.32704,0.32602,0.32521,0.32469
0.28248,0.31655,0.3449,0.36525,0.37791,0.38448,0.38536,0.38461,0.38272,0.38211,0.37915,0.37715,0.37405,0.37116,0.36812,0.36491,0.36167,0.35838,0.35501,0.35165,0.34835,0.34516,0.34213,0.3393,0.33667,0.3343,0.33217,0.33028,0.32868,0.32732,0.32619,0.3253
0.24752,0.28243,0.31614,0.34426,0.36427,0.37672,0.38321,0.38361,0.38284,0.38084,0.38042,0.37734,0.37561,0.37257,0.36979,0.36687,0.3638,0.36075,0.35763,0.35442,0.35124,0.34811,0.34509,0.3422,0.33948,0.33694,0.33461,0.33248,0.33058,0.32893,0.32748,0.32627
