0.39999,0.39358,0.38481,0.37331,0.35964,0.34523,0.33185,0.32131,0.31482,0.31245,0.31331,0.33036,0.36888,0.36759,0.36604,0.36412
0.39987,0.39459,0.3878,0.37903,0.36826,0.35615,0.34378,0.33253,0.32372,0.31815,0.31589,0.31631,0.33055,0.36839,0.36727,0.36584
0.39895,0.39491,0.38955,0.3827,0.37421,0.36429,0.35353,0.34282,0.33323,0.3257,0.32082,0.31861,0.31863,0.33065,0.36806,0.36712
0.39405,0.39427,0.39036,0.38499,0.37826,0.37022,0.36114,0.35156,0.3422,0.33389,0.32733,0.32292,0.32068,0.32031,0.3307,0.3679
0.37615,0.39189,0.39021,0.38623,0.38092,0.37443,0.3669,0.35862,0.35006,0.3418,0.33448,0.32862,0.32452,0.32218,0.32139,0.33072
0.33242,0.37533,0.3892,0.38655,0.3825,0.37732,0.37116,0.36416,0.35662,0.34891,0.34154,0.33499,0.32962,0.32566,0.32314,0.32192
0.26467,0.33197,0.37445,0.38628,0.38321,0.37917,0.37419,0.36838,0.3619,0.35502,0.34804,0.34138,0.33539,0.33033,0.32641,0.32361
0.20849,0.26493,0.33161,0.37365,0.38331,0.38015,0.37621,0.37147,0.36604,0.36006,0.35376,0.34739,0.34128,0.33567,0.3308,0.32677
0.20849,0.22869,0.26601,0.33126,0.37295,0.38044,0.37737,0.37361,0.36915,0.36409,0.35858,0.35277,0.34691,0.34121,0.33586,0.33103
0.26467,0.23939,0.24947,0.27115,0.3309,0.37235,0.37774,0.37489,0.37135,0.36719,0.3625,0.3574,0.35203,0.34657,0.34116,0.33596
0.33242,0.28476,0.2621,0.26567,0.27823,0.33061,0.37188,0.37524,0.37271,0.36943,0.36557,0.36123,0.3565,0.3515,0.34634,0.34114
0.37615,0.33155,0.29661,0.27831,0.2783,0.28577,0.33039,0.37154,0.37304,0.37083,0.36782,0.36427,0.36025,0.35585,0.35115,0.34623
0.39405,0.3633,0.3308,0.30454,0.29004,0.2883,0.29294,0.33023,0.37123,0.37128,0.36928,0.36653,0.36326,0.35954,0.35543,0.35098
0.39895,0.38023,0.35555,0.33057,0.31034,0.29876,0.29633,0.29935,0.33013,0.37078,0.36991,0.36804,0.36553,0.36253,0.35907,0.35522
0.39987,0.38809,0.37092,0.35062,0.33077,0.31481,0.30543,0.30285,0.30489,0.33012,0.3702,0.36886,0.36711,0.36481,0.36204,0.35885
0.39999,0.39173,0.37975,0.36437,0.34738,0.33123,0.31839,0.31066,0.30815,0.30952,0.3302,0.36953,0.3681,0.36645,0.36435,0.36181
