0,0,0.03125,0.0625,0.09375,0.125,0.15625,0.1875,0.21875,0.25,0.28125,0.3125,0.34375,0.375,0.40625,0.4375,0.46875,0.5,0.53125,0.5625,0.59375,0.625,0.65625,0.6875,0.71875,0.75,0.78125,0.8125,0.84375,0.875,0.90625,0.9375,0.96875,1
0,0.6,0.59999,0.59998,0.59997,0.59994,0.5999,0.59983,0.59973,0.59959,0.5994,0.59917,0.59888,0.59854,0.59815,0.5977,0.59721,0.59668,0.5961,0.59549,0.59485,0.59419,0.5935,0.59279,0.59208,0.59135,0.59061,0.58987,0.58913,0.58839,0.58765,0.58692,0.58619,0.58548
0.03125,0.59999,0.59998,0.59995,0.59991,0.59985,0.59975,0.5996,0.5994,0.59915,0.59882,0.59843,0.59798,0.59746,0.59689,0.59627,0.59561,0.5949,0.59417,0.5934,0.59262,0.59182,0.59101,0.5902,0.58938,0.58856,0.58774,0.58693,0.58613,0.58534,0.58456,0.58379,0.58304,0.5823
0.0625,0.59996,0.59993,0.59987,0.59977,0.59962,0.59941,0.59912,0.59876,0.59831,0.59778,0.59718,0.59651,0.59578,0.595,0.59418,0.59333,0.59245,0.59156,0.59065,0.58974,0.58882,0.58791,0.587,0.58611,0.58522,0.58435,0.5835,0.58266,0.58185,0.58105,0.58027,0.57952,0.57878
0.09375,0.59989,0.59979,0.59964,0.59942,0.59911,0.5987,0.59819,0.59758,0.59687,0.59608,0.59521,0.5943,0.59333,0.59234,0.59132,0.59029,0.58925,0.58822,0.58719,0.58617,0.58517,0.58419,0.58323,0.58229,0.58137,0.58048,0.57961,0.57877,0.57796,0.57718,0.57642,0.57569,0.57498
0.125,0.59968,0.59945,0.59913,0.59867,0.59809,0.59738,0.59654,0.59559,0.59456,0.59347,0.59233,0.59116,0.58997,0.58878,0.58759,0.58642,0.58526,0.58413,0.58302,0.58195,0.5809,0.57989,0.57891,0.57797,0.57706,0.57618,0.57534,0.57454,0.57376,0.57303,0.57232,0.57164,0.571
0.15625,0.59916,0.59868,0.59803,0.5972,0.59621,0.59507,0.59383,0.59251,0.59115,0.58976,0.58836,0.58697,0.58561,0.58427,0.58297,0.58171,0.58049,0.57932,0.57819,0.57711,0.57607,0.57508,0.57414,0.57324,0.57238,0.57156,0.57079,0.57005,0.56936,0.5687,0.56807,0.56748,0.56693
0.1875,0.59801,0.59707,0.5959,0.59454,0.59302,0.59141,0.58975,0.58808,0.58642,0.5848,0.58322,0.5817,0.58023,0.57883,0.57749,0.57622,0.57502,0.57387,0.57279,0.57176,0.5708,0.56988,0.56903,0.56822,0.56746,0.56674,0.56608,0.56545,0.56486,0.56432,0.56381,0.56334,0.5629
0.21875,0.59565,0.59402,0.59216,0.59016,0.58811,0.58607,0.58407,0.58214,0.58031,0.57857,0.57692,0.57537,0.57392,0.57255,0.57128,0.57009,0.56897,0.56793,0.56697,0.56607,0.56523,0.56445,0.56373,0.56306,0.56245,0.56188,0.56136,0.56088,0.56044,0.56004,0.55967,0.55935,0.55905
0.25,0.5913,0.58879,0.5862,0.58363,0.58117,0.57886,0.57671,0.57471,0.57287,0.57117,0.5696,0.56817,0.56685,0.56563,0.56452,0.5635,0.56257,0.56171,0.56093,0.56022,0.55957,0.55898,0.55845,0.55797,0.55754,0.55716,0.55681,0.55651,0.55625,0.55603,0.55584,0.55568,0.55555
0.28125,0.58402,0.5807,0.57758,0.57473,0.57217,0.56987,0.56782,0.56598,0.56434,0.56286,0.56154,0.56036,0.5593,0.55835,0.5575,0.55674,0.55606,0.55547,0.55494,0.55447,0.55407,0.55372,0.55342,0.55317,0.55296,0.55279,0.55266,0.55257,0.55251,0.55249,0.55249,0.55252,0.55258
0.3125,0.5731,0.56943,0.5663,0.56365,0.56139,0.55946,0.5578,0.55637,0.55513,0.55406,0.55313,0.55234,0.55165,0.55106,0.55056,0.55015,0.5498,0.54952,0.5493,0.54913,0.54901,0.54894,0.54891,0.54891,0.54896,0.54903,0.54914,0.54928,0.54944,0.54963,0.54984,0.55007,0.55032
0.34375,0.55848,0.55535,0.55294,0.55104,0.54951,0.54828,0.54728,0.54647,0.54582,0.5453,0.5449,0.54459,0.54437,0.54423,0.54415,0.54413,0.54416,0.54425,0.54437,0.54453,0.54473,0.54496,0.54522,0.54551,0.54582,0.54615,0.5465,0.54687,0.54726,0.54767,0.54809,0.54852,0.54897
