0,0,0.03125,0.0625,0.09375,0.125,0.15625,0.1875,0.21875,0.25,0.28125,0.3125,0.34375,0.375,0.40625,0.4375,0.46875,0.5,0.53125,0.5625,0.59375,0.625,0.65625,0.6875,0.71875,0.75,0.78125,0.8125,0.84375,0.875,0.90625,0.9375,0.96875
0,0.39999,0.39999,0.39999,0.39998,0.39996,0.39991,0.39983,0.39969,0.39944,0.39903,0.39839,0.39743,0.39602,0.39403,0.39133,0.38775,0.38318,0.37749,0.37063,0.36258,0.3534,0.34321,0.33222,0.32068,0.30891,0.29727,0.28614,0.27587,0.26682,0.25926,0.25344,0.2495
0.03125,0.39998,0.39999,0.39999,0.39999,0.39998,0.39997,0.39994,0.39989,0.39979,0.39961,0.39932,0.39886,0.39814,0.39708,0.39556,0.39344,0.3906,0.38689,0.38219,0.37641,0.3695,0.36145,0.35233,0.34227,0.33148,0.32019,0.30873,0.29744,0.28665,0.27674,0.268,0.26072
0.0625,0.39993,0.39995,0.39997,0.39998,0.39998,0.39998,0.39998,0.39996,0.39992,0.39986,0.39973,0.39953,0.39919,0.39867,0.39787,0.39672,0.39508,0.39284,0.38986,0.38603,0.38122,0.37536,0.3684,0.36037,0.35132,0.3414,0.3308,0.31976,0.3086,0.29763,0.28718,0.27759
0.09375,0.39977,0.39985,0.3999,0.39994,0.39996,0.39997,0.39998,0.39998,0.39997,0.39995,0.3999,0.39982,0.39967,0.39943,0.39905,0.39846,0.39759,0.39633,0.39459,0.39222,0.38913,0.38517,0.38026,0.37433,0.36735,0.35934,0.35037,0.34058,0.33017,0.31939,0.30851,0.29784
0.125,0.39936,0.39957,0.39971,0.3998,0.39987,0.39991,0.39994,0.39996,0.39997,0.39997,0.39996,0.39993,0.39987,0.39977,0.3996,0.39933,0.39889,0.39824,0.39729,0.39594,0.39408,0.3916,0.38839,0.38433,0.37933,0.37334,0.36634,0.35835,0.34947,0.33982,0.3296,0.31905
0.15625,0.39833,0.39884,0.3992,0.39946,0.39963,0.39975,0.39983,0.39989,0.39992,0.39995,0.39996,0.39996,0.39994,0.39991,0.39984,0.39972,0.39952,0.39921,0.39873,0.39801,0.39697,0.39553,0.39356,0.39098,0.38765,0.38349,0.37842,0.37238,0.36536,0.35742,0.34862,0.33911
0.1875,0.39602,0.39717,0.39801,0.39861,0.39903,0.39933,0.39954,0.39969,0.39979,0.39986,0.3999,0.39993,0.39994,0.39994,0.39993,0.39988,0.3998,0.39966,0.39944,0.39908,0.39854,0.39776,0.39664,0.3951,0.39304,0.39035,0.38692,0.38267,0.37752,0.37144,0.36443,0.35652
0.21875,0.39131,0.39366,0.39542,0.39671,0.39766,0.39835,0.39884,0.39919,0.39944,0.39961,0.39973,0.39982,0.39987,0.39991,0.39993,0.39993,0.3999,0.39985,0.39976,0.3996,0.39934,0.39894,0.39835,0.3975,0.3963,0.39467,0.39251,0.38971,0.38619,0.38186,0.37665,0.37054
0.25,0.38259,0.38695,0.39031,0.39286,0.39479,0.39622,0.39729,0.39806,0.39863,0.39903,0.39932,0.39953,0.39967,0.39977,0.39984,0.39988,0.3999,0.3999,0.39988,0.39982,0.39971,0.39952,0.39923,0.39879,0.39814,0.39722,0.39595,0.39423,0.39197,0.38908,0.38547,0.38106
