,0
0,0.006917999558684343
1,0.002336540967360087
2,0.001263105898430459
3,0.0006522929165272535
4,0.0006168709302055088
5,0.0006504092457863754
6,0.0008476500477020603
7,0.001041700368026706
8,0.0014436716438392216
9,0.001809097732234575
10,0.0024590076614760194
11,0.0029118632749340254
12,0.00308910085330709
13,0.002902219800502955
14,0.002675760113093686
15,0.002380598475047851
16,0.0021497214723275866
17,0.002039329058336108
18,0.0017473213487710416
19,0.0015539809855456225
20,0.0013505363865883228
21,0.0014195253703042344
22,0.001300451174145169
23,0.0010579429878758767
24,0.0009003290213687727
25,0.0008067004111632029
26,0.0007006587190701522
27,0.0007029246612255029
28,0.0007280359272026048
29,0.0008076212560035809
30,0.0007967866177089051
31,0.0007694617132836565
32,0.0007423998331661996
33,0.0006801668654027567
34,0.0006037185740265091
35,0.000484300252437766
36,0.0003915779569635012
37,0.0003381146760299972
38,0.0003315771232067725
39,0.0003424613734368757
40,0.0003690166154634786
41,0.0003766585000455
42,0.00037736188114793814
43,0.000371729751957154
44,0.00036301150746063677
45,0.0003684342060604022
46,0.000374660121813134
47,0.0003615405064098494
48,0.0003416719774221935
49,0.00033382062760261774
50,0.00031952565420082044
51,0.00031251037910020544
52,0.0002881654522142703
53,0.00030530238270709466
54,0.0002848320723969171
55,0.0002525564848011048
56,0.0002242421535563026
57,0.00021431463492316023
58,0.00021549344420508914
59,0.0002231691330151827
60,0.00024014641542020963
61,0.0002595309776302259
62,0.00025785255150641284
63,0.000269112390513083
64,0.00027192377588855857
65,0.0002645705425120739
66,0.00026547490178842077
67,0.00025028160976032793
68,0.00023454561388533066
69,0.0002275478177709081
70,0.0002288037436788291
71,0.00021886112468726994
72,0.0002187061058319022
73,0.00020674435383597617
74,0.00019362428888190352
75,0.0001864525842453866
76,0.00016820240309489524
77,0.00014524639455619926
78,0.00010819794745286614
79,7.962693748176253e-05
80,5.9306028879512786e-05
81,6.090016596160819e-05
82,6.949235536030281e-05
83,7.726164421774546e-05
84,6.777554763099519e-05
85,6.990592792651459e-05
86,7.097437279420839e-05
87,8.066421217412401e-05
88,9.026608707094971e-05
89,9.437461280957429e-05
90,0.00011040686882178054
91,0.00010397923490688792
92,9.1887994114484e-05
93,8.017642873464018e-05
94,7.532754089432069e-05
95,7.832808855809479e-05
96,8.516711625964051e-05
97,9.44358900805669e-05
98,8.734541774299207e-05
99,7.091852985408823e-05
