,0
0,0.1712395716458559
1,0.04156205477192998
2,0.04191887658089399
3,0.04189108358696103
4,0.04245205968618393
5,0.04372227378189564
6,0.043178713880479336
7,0.04388711787760258
8,0.043861455749720335
9,0.002777217421680689
10,0.0012180502526462078
11,0.0015763109549880028
12,0.0014606737531721592
13,0.0013263826258480549
14,0.0009699319489300251
15,0.0008860020898282528
16,0.001646401360630989
17,0.0008780336938798428
18,0.0008850242011249065
19,0.0005886508151888847
20,0.0010205521248281002
21,0.0009800856932997704
22,0.000999576412141323
23,0.0008284901268780231
24,0.0008636736311018467
25,0.0009468174539506435
26,0.0009920168668031693
27,0.0006362404674291611
28,0.0006630583666265011
29,0.0004731258377432823
